Links,Description,,,,,,,,,,,,,,,,,,,
Welcome to StoreHub! ,All learning materials for learning materials,,,,,,,,,,,,,,,,,,,
Lark Drive,Scorecards copy,,,,,,,,,,,,,,,,,,,
Training Scoring Metrics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Training Score Overview [Example],,,,,,,,,,,,,,,,,,,,
Batch No,Name,Learning Score,Participation,"Total Score
",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Benchmark,,,,,,,,,,,,,,,,,,
,,80,20,100,,,,,,,,,,,,,,,,
1,Player A,80,15,95%,,,,,,,,,,,,,,,,
2,Player B,70,8,78%,,,,,,,,,,,,,,,,
3,Player C,80,5,85%,,,,,,,,,,,,,,,,
4,Player D,38,8,46%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Scores Breakdown,,,,,,,,,,,,,,,,,,,,
List of Quiz & Assessment,Learning Score,Passing Rate,,,,,,,,,,,,,,,,,,
All In One Quiz,20%,80%,,,,,,,,,,,,,,,,,,
Pitching (F&B),5%,80%,,,,,,,,,,,,,,,,,,
Pitching (Retail),5%,80%,,,,,,,,,,,,,,,,,,
SPIN 2,5%,80%,,,,,,,,,,,,,,,,,,
Closing 1,5%,80%,,,,,,,,,,,,,,,,,,
Closing 2,5%,80%,,,,,,,,,,,,,,,,,,
Full Pitching (F&B),10%,80%,,,,,,,,,,,,,,,,,,
Full Pitching (Retail),10%,80%,,,,,,,,,,,,,,,,,,
Mock F&B,35%,80%,,,,,,,,,,,,,,,,,,
Mock Retail,,80%,,,,,,,,,,,,,,,,,,
Total,100%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Participation Score : 20%,,,,,,,,,,,,,,,,,,,,
Scores,5,10,15,20,,,,,,,,,,,,,,,,
Categories,Passive & Non Responsive,Passive & Somewhat Responsive,Neutral,Go-getter,,,,,,,,,,,,,,,,
Descriptions,"- Task Completion (5%): Frequently absent or disengaged, does not participate in discussions or tasks, and fails to complete assignments.

- Culture Code (0%):
Fails to demonstrate Ownership, Integrity, or Collaboration.

- Attendance (0%): MIA","- Task Completion (5%): Attends most sessions but shows limited participation, rarely engages in discussions, and partially completes tasks.

- Culture Code (5%): Needs improvement in Engagement and aligning with Culture Code.

- Attendance (0%): MC/EL/UPL
(except immediate family bereavement)","- Task Completion (5%): Participates regularly, asks some questions, contributes to discussions, and completes most tasks with consistent effort.

- Culture Code (10%): Reflects Integrity, Collaboration, and Focus on Impact.

- Attendance (0%): with Lateness","- Task Completion (5%):  Fully engaged in all sessions, asks insightful questions, contributes meaningfully to discussions, completes all tasks with high quality, and shows enthusiasm and initiative.

- Culture Code (10%): Exemplifies Ownership, Collaboration, and Continuous Learning.

- Attendance (5%) : Perfect Attendance",,,,,,,,,,,,,,,,
