,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
PITCHING SCORECARD,,,,,
Player Name        ,,,,,Total Score
Evaluator Name   ,,,,,0%
Evaluation Date   ,,,,,
Topic,,,,,
Parameters,Total score,Remark,Poor,Average,Strong
,,,0,1,2
1. Introduction,,,,,
1.1 Tone,,,Bad slides introduction & timing,Proper slides introduction but miss manage timing,Proper slides introduction & timing
1.2 Information Accuracy,,,Message was not properly executed,Message delivered was understandable but can be executed better,Messaged delivered was clear and properly executed
2. Control,,,,,
2.1 Pace,,,Pressure of speech (fast/slow),Acceptable pace but occasionally stuttering,Perfect pace 
2.2 Time Management,,,Present & complete by: 12 mins or more,Present & complete by: 11-12 mins,Present & complete by: <10 mins
2.3 Engagement (eg: Proper eye contact / Body Language / Facial Expressions),,,"No eye contact,
 Too much hand gesture that seem restless 
Negative facial expression (Frowning, smirk)",Acceptable engagement with occasional negative engagement,Very engaging and natural expressions
3. Clarity,,,,,
3.1 Professionalism,,,"Laugh, sarcastic or being negative during meeting",Able to convey the message with occasional wrong choice of projection,"Being calm, compose & orderly"
3.2 Choice of Words (eg: Jargon / Grammar),,,Used inappropriate/mismatch choice of words ,Grammar is average with some minor misses which can be improved ,Good grammar with the correct choice of words
3.3 Tone,,,Robotic Tone / Negative Tone,Somewhat acceptable occasionally mismatch in tonality,"Lively, Engaging & Friendly Tone"
"3.4 Fluency (eg: suffix (lah, you know))",,,A lot of fillers and suffix,Less fillers and suffix,No fillers
4. Creativity,,,,,
4.1 Personalise (eg: use your own words),,,Reading directly from slide. No proper explanation (examples on situation) without paraphrasing,Provide explanation with minimal clarity,Provide clear explanation
