,,,,,
,,,,,
,,,,,
Evaluator Name,,,,,
Scenario,,,,,
Categories,Attributes,Result,Score,Remarks,Overall
Compliance,Code of Conduct,Pass,,,Pass
Greetings,Warm Greeting,Yes,0.5,,10
,Fond Farewell,Yes,0.5,,
Process,Process Adherence,Yes,0.5,,40
,Information Accuracy,Yes,0.5,,
,Relevance,Yes,0.5,,
,Alternative Solutions,Yes,0.5,,
,Follow Up,Yes,0.5,,
,Organized Guidance,Yes,0.5,,
,Demonstration,Yes,0.5,,
,Escalation,Yes,0.5,,
Effective Handling,Active Listening,Yes,0.5,,30
,Hold Procedure,Yes,0.5,,
,Interactive,Yes,0.5,,
,Positive Language & Empathy,Yes,0.5,,
,Communication Flow,Yes,0.5,,
,Courteous,Yes,0.5,,
System Requirements,Documentation,Yes,1.0,,20
,Record Keeping,Yes,1.0,,
Final Score,,,,,100%
