Role,Assessment Name,Schedule Day,Form Link,Instructions,Deadline Time
Merchant Care,Hardware Assessment,3,https://forms.gle/4uqyPthsVweeZPqx6,Demonstrate basic troubleshooting based on scenario,End of Day
Merchant Care,Care Mock Test,4,https://forms.gle/FKaQMgkzC6waDdhh8,To assess new hire's product knowledge and soft skills when handling merchants,End of Day
Merchant Onboarding Manager,Hardware Assessment,3,https://forms.gle/4uqyPthsVweeZPqx6,Demonstrate basic troubleshooting based on scenario,End of Day
Merchant Onboarding Manager,Training Assessment (F&B),5,https://forms.gle/PoWWciHpStBQyoy2A,To evaluate training skills and product knowledge ,End of Day
Merchant Onboarding Manager,Training Assessment (Retail),5,https://forms.gle/NLz3fTGEzrtig3qz9,To evaluate training skills and product knowledge ,End of Day
Merchant Onboarding Manager,Welcome Call,6,https://forms.gle/faZ9tWtdaq34Sb9r7,To evaluate Welcome Call skills,End of Day
Merchant Onboarding Manager,Go Live Call,6,https://forms.gle/8RqXyt7unMg25skK9,To evaluate Go Live skills,End of Day
Merchant Onboarding Manager,Training Mock Test (F&B),6,https://forms.gle/CcfmMcrb48cj6iMx6,To evaluate training skills and product knowledge base on a scenario,End of Day
Merchant Onboarding Manager,Training Mock Test (Retail),6,https://forms.gle/F5SaX7CURqrNoEV66,To evaluate training skills and product knowledge base on a scenario,End of Day
Customer Success Manager,Hardware Assessment,3,https://forms.gle/4uqyPthsVweeZPqx6,Demonstrate basic troubleshooting based on scenario,End of Day
Customer Success Manager,Hardware Setup & Troubleshoot ,4,https://forms.gle/4uqyPthsVweeZPqx6,Demonstrate basic troubleshooting based on scenario,End of Day
Customer Success Manager,CSM Assessment,5,https://forms.gle/89McoPTBytfjnh78A,Test on CSM skills,End of Day
Customer Success Manager,Roleplay 1,5,https://forms.gle/SDGiQgRzWkWKAj7f6,Complete mock with coach,End of Day
Customer Success Manager,Roleplay 2,5,https://forms.gle/SDGiQgRzWkWKAj7f6,Complete mock with coach,End of Day
Onboarding Specialist,Hardware Assessment,3,https://forms.gle/4uqyPthsVweeZPqx6,Demonstrate basic troubleshooting based on scenario,End of Day
Onboarding Specialist,Training Assessment (F&B),5,https://forms.gle/PoWWciHpStBQyoy2A,To evaluate training skills and product knowledge ,End of Day
Onboarding Specialist,Training Assessment (Retail),5,https://forms.gle/NLz3fTGEzrtig3qz9,To evaluate training skills and product knowledge ,End of Day
Onboarding Specialist,Training Mock Test (F&B),6,https://forms.gle/CcfmMcrb48cj6iMx6,To evaluate training skills and product knowledge base on a scenario,End of Day
Onboarding Specialist,Training Mock Test (Retail),6,https://forms.gle/F5SaX7CURqrNoEV66,To evaluate training skills and product knowledge base on a scenario,End of Day
Business Consultant,Pitching F&B,3,https://forms.gle/T8r3RasUErBVoN2K9,To evaluate presentation skills,End of Day
Business Consultant,Pitching Retail,3,https://forms.gle/T8r3RasUErBVoN2K9,To evaluate presentation skills,End of Day
Business Consultant,SPIN Trial,3,https://forms.gle/bRwtLNVJ1iM5iAdS6,To evaluate SPIN technique. This is a trial run assessment.,End of Day
Business Consultant,SPIN 2,3,https://forms.gle/bRwtLNVJ1iM5iAdS6,To evaluate SPIN technique. ,End of Day
Business Consultant,Closing 1,4,https://forms.gle/HWRkF7SEQhLqdFJ28,To evaluate Closing technique. ,End of Day
Business Consultant,Closing 2,4,https://forms.gle/HWRkF7SEQhLqdFJ28,To evaluate Closing technique. ,End of Day
Business Consultant,Full Pitching F&B,5,https://forms.gle/SVf58PiWJMC9D3fF7,To evaluate Full pitching.,End of Day
Business Consultant, Full Pitching Retail,5,https://forms.gle/SVf58PiWJMC9D3fF7,To evaluate Full pitching.,End of Day
Business Consultant,Mock Test (F&B),6,https://forms.gle/BiZNVduMTUREzCvt5,To evaluate players understanding of the whole pitching combo.,End of Day
Business Consultant,Mock Test (Retail),6,https://forms.gle/BiZNVduMTUREzCvt5,To evaluate players understanding of the whole pitching combo.,End of Day
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
